Email name,Family / Category,Class,Subject,Preheader,Status,Owner (system / team),Trigger,CTA,Preview URL,Figma
activate_email,Auth / account,Transactional,Activate your TakeProfit account,Verify your email to activate your TakeProfit account.,Live,AWS service (media-backend team),User signs up / email needs verification,Activate Account,,
Reset_password,Auth / account,Transactional,Reset your TakeProfit password,We received a request to reset your password for your TakeProfit account.,Live,AWS service (media-backend team),User requests a password reset,Reset Password,,
Set_a_New_Password_and_Exchange_Linking,Auth / account,Transactional,Set a new password to link your exchange account,"To authorize your login through a linked exchange account, use the reset link in this email.",Live,AWS service (media-backend team),User links an exchange account (needs password set),Reset Password,,
Set_a_New_Password_and_Google_Linking,Auth / account,Transactional,Set a new password to link your Google account,"To authorize your login through a linked Google account, use the reset link in this email.",Live,AWS service (media-backend team),User links a Google account (needs password set),Reset Password,,
Set_a_new_password_and_link_your_accounts,Auth / account,Transactional,Set a new password and link your accounts,Set a new password to link your accounts and authorize your login.,Live,AWS service (media-backend team),"User links accounts (combined flow, needs password set)",Reset Password,,
YourIndicatorHasBeenSentForReview_-_NEW,Indicator lifecycle,Transactional,Your indicator is under review,We are currently auditing your logic for stability and publication readiness. Expect the verification process to be completed within 2-4 business days.,Live,AWS service (media-backend team),User submits an indicator for review,—,,
YourIndicatorHasBeenApproved,Indicator lifecycle,Transactional,Your indicator has been approved 🎉,Great news! Your indicator is now live.,Live,AWS service (media-backend team),Moderator approves indicator (with comment),Check it Out,,
YourIndicatorHasBeenApproved-NoComment,Indicator lifecycle,Transactional,Your indicator has been approved 🎉,Great news! Your indicator is now live.,Live,AWS service (media-backend team),Moderator approves indicator (no comment),Check it Out,,
YourIndicatorHasBeenRejected,Indicator lifecycle,Transactional,Your indicator wasn't approved,"Thank you for your submission. After careful review, we couldn't publish your indicator as it doesn't meet our requirements.",Live,AWS service (media-backend team),Moderator rejects indicator,Submission Guidelines / Support,,
YourReportHasBeenReceived,Community moderation,Transactional,We've received your report,Thank you for helping us keep the TakeProfit community safe.,Live,AWS service (media-backend team),User submits a report,—,,
YourReportHasBeenReviewed,Community moderation,Transactional,Update on your report,We have reviewed your report regarding a post or comment in the TakeProfit Community.,Live,AWS service (media-backend team),Moderator reviews a submitted report,Back to Community,,
ContentViolationNotice,Community moderation,Transactional,Your content violates our Community Guidelines,We reviewed your recent post or comment and determined that it violates the TakeProfit Community Guidelines.,Live,AWS service (media-backend team),Moderator flags user content as violating guidelines,Community Guidelines,,
SomeoneCommentedOnYourPost,Social,Notification,{username} commented on your post,{username} commented on your post.,Live,AWS service (media-backend team),Someone comments on the user's post,View Post,,
SomeoneRepliedToYourComment,Social,Notification,{username} replied to your comment,{username} replied to your comment.,Live,AWS service (media-backend team),Someone replies to the user's comment,View Post,,
UserStartedFollowingYou,Social,Notification,{username} started following you,{username} just followed you.,Live,AWS service (media-backend team),Someone follows the user,View Profile,,
NewContentIndicator,Feed content,Notification,New from {creator}: {Content_title},A new {post/indicator/screener} from a creator you follow is live on your feed.,Live,AWS service (media-backend team),Followed creator publishes a new indicator,Open Now,,
NewContentPostLocked,Feed content,Notification,{creator} shared subscriber-only content,A new {post/indicator/screener} from a creator you follow is live on your feed.,Live,AWS service (media-backend team),Followed creator posts subscriber-only (locked) content,Subscribe to Unlock,,
NewContentPost-notSubscribedFollower,Feed content,Notification,New from {creator}: {Content_title},A new post from a creator you follow is live on your feed.,Live,AWS service (media-backend team),Followed creator posts; recipient follows but isn't a paid subscriber,View Post,,
NewContentPost-SubscribedFollower,Feed content,Notification,{creator} just posted: {Content_title},A new post from a creator you follow is live on your feed.,Live,AWS service (media-backend team),Followed creator posts; recipient is a paid subscriber,View Post,,
PaidSubscriber-NewSubscription,Transactions,Notification,You've got a new subscriber 🎉,@{subscriber_username} subscribed to your {indicator} {indicator_name}.,Live,AWS service (media-backend team),Someone subscribes to the user's paid content,View Dashboard,,
PaidSubscriber-Renewal,Transactions,Notification,Subscription renewed — {amount} earned,@{subscriber_username} renewed their subscription for {content}.,Live,AWS service (media-backend team),A subscriber renews their subscription,View Dashboard,,
PaidSubscriber-ReferralRenewal,Transactions,Notification,Referral earnings — {amount},Your referral @{referral_username} renewed their subscription.,Live,AWS service (media-backend team),A referred user renews their subscription,View Dashboard,,
First_User_Subscribed_to_You,Onboarding / monetization,Notification,Your first subscriber is in! 🎉,Your first subscriber is in! Your first payout is approaching.,Live,Customer.io (Marketing),User gets their first paid subscriber,View Dashboard,,
welcome,Onboarding / monetization,Notification,Welcome to TakeProfit,Welcome to TakeProfit — let's get you started.,Legacy,Customer.io (Marketing),User completes signup,Get Started,,
Alert-SingleCriteria,Alerts,Notification,Alert: {ticker} {source} {condition} {value},Your alert triggered your criteria.,Live,AWS alerts (Indie team),A single-criterion price/indicator alert fires,Open Chart,,
Alert-MultipleCriteria,Alerts,Notification,Alert: {ticker} {source} {condition} {value},Your alert triggered {N} of your criteria.,Live,AWS alerts (Indie team),A multi-criteria alert fires,Open Chart,,
